iter	Logloss
0	0.6315268848
1	0.5880370406
2	0.5540899072
3	0.526889898
4	0.5086313243
5	0.4932717068
6	0.4821800995
7	0.4710576614
8	0.463117279
9	0.4566492821
10	0.4516199703
11	0.4470463718
12	0.4435272774
13	0.4401866547
14	0.4371318801
15	0.4348574131
16	0.4327257924
17	0.4306649404
18	0.4290631485
19	0.4274244678
20	0.426198883
21	0.4241722309
22	0.4231715374
23	0.4215948663
24	0.4208455005
25	0.4198630096
26	0.418946441
27	0.4178658148
28	0.417006093
29	0.4161450476
30	0.4155484267
31	0.4146422742
32	0.4135774433
33	0.4126508688
34	0.4118484144
35	0.4111258194
36	0.4103402989
37	0.4088824309
38	0.4079738915
39	0.4070906623
40	0.4061009537
41	0.4054883224
42	0.4047580671
43	0.4038862141
44	0.4032349589
45	0.4025795442
46	0.4020151248
47	0.4016699848
48	0.4009837843
49	0.40038925
50	0.3993057916
51	0.3987647095
52	0.3981935038
53	0.3979149637
54	0.397052748
55	0.3965742218
56	0.3954529989
57	0.394647247
58	0.394207599
59	0.3935209193
60	0.3926818129
61	0.3919420829
62	0.3912913102
63	0.3906447577
64	0.3894533947
65	0.3888707243
66	0.3881882259
67	0.387634262
68	0.3868635238
69	0.3863431517
70	0.3856633293
71	0.3852580682
72	0.384400702
73	0.3840694466
74	0.3834488543
75	0.3826530118
76	0.3822586325
77	0.3815507543
78	0.3810806369
79	0.3804362594
80	0.3798767331
81	0.3795097343
82	0.3790468157
83	0.3786383928
84	0.3781335872
85	0.3774372981
86	0.3772286206
87	0.3767954555
88	0.3761498675
89	0.3756777666
90	0.3751982107
91	0.3745258213
92	0.3739104313
93	0.3735310759
94	0.3730968571
95	0.3728002048
96	0.3724635131
97	0.372033251
98	0.371818485
99	0.371436982
