iter	Passed	Remaining
0	153	15170
1	157	7726
2	163	5301
3	168	4048
4	172	3283
5	177	2774
6	182	2430
7	187	2153
8	191	1936
9	195	1761
10	199	1617
11	204	1496
12	208	1395
13	213	1312
14	218	1235
15	222	1166
16	226	1106
17	232	1057
18	237	1012
19	241	967
20	246	926
21	250	887
22	254	851
23	258	818
24	262	787
25	265	755
26	268	726
27	272	700
28	276	676
29	280	653
30	284	632
31	287	611
32	291	592
33	295	572
34	298	555
35	302	538
36	306	521
37	309	505
38	313	490
39	317	475
40	320	460
41	323	447
42	326	433
43	329	419
44	332	406
45	336	394
46	339	382
47	342	371
48	345	359
49	349	349
50	352	338
51	355	328
52	359	318
53	364	310
54	367	300
55	371	291
56	374	282
57	377	273
58	380	264
59	383	255
60	387	247
61	390	239
62	393	231
63	396	223
64	399	215
65	403	207
66	406	200
67	409	192
68	412	185
69	415	178
70	419	171
71	422	164
72	426	157
73	429	150
74	432	144
75	436	137
76	439	131
77	442	124
78	445	118
79	448	112
80	452	106
81	455	100
82	458	93
83	461	87
84	465	82
85	468	76
86	472	70
87	475	64
88	481	59
89	484	53
90	487	48
91	490	42
92	495	37
93	500	31
94	504	26
95	508	21
96	512	15
97	516	10
98	519	5
99	523	0
